TUNETUL FC,,A ISPAS,6,,3,,Etapa a 4-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,7,,1,,Etapa a 4-a,echipa,puncte,
11,Tolisso,LYO,0,,,,,,,,,11,Modric,MIL,0,,,,,,,
12,B Diaz,RM,0,,,,,,,,,12,F Ruiz,PSG,0,,,,,,,
13,Kaminski,KOL,0,,,,,,,,,13,Casemiro,MU,0,,,,,,,
14,Vlasic,TOR,0,,,,,,,,,14,Chaibi,FRA,0,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,
15,L Diaz,BM,2,,,,,,,,,15,Guirassy,DOR,0,,,,,,,
16,L Martinez,INT,1,,,,,,,,,16,Yamal,BAR,0,,,,,,,
17,Ekitike,LIV,0,,,,,,,,,17,Richarlison,TOT,0,,,,,,,
18,Bowen,WH,0,,,,,,,,,18,Boniface,WB,0,,,,,,,
19,Gakpo,LIV,1,,,,,,,,,19,Giroud,LIL,0,,,,,,,
20,Ferguson,ROM,0,,,,,,,,,20,I Thiago,BRN,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CHELSEA PITESTI,,B FLUTUREL,4,,3,,Etapa a 4-a,echipa,puncte,,,FC PINALTY,,L ALBU,12,,3,,Etapa a 4-a,echipa,puncte,
PORTARI,,,,,,,LILLE,LIL,,1,,PORTARI,,,,,,,ARSENAL,ARS,,0
1,LILLE,LIL,1,,,,Gosens,FIO,0,,,1,ARSENAL,ARS,0,,,,Schar,NEW,0,
2,NICE,NIC,2,,,,Munoz,CP,2,,,2,SOCIEDAD,SOC,1,,,,L Vazquez,BL,0,
FUNDASI,,,,,,,Bensebaini,DOR,0,,,FUNDASI,,,,,,,Abdi,NIC,0,
3,Gosens,FIO,0,,,,X Simons,TOT,0,,,3,Abdi,NIC,0,,,,N Paz,COM,0,
4,Munoz,CP,2,,,,Gibbs-White,NOT,0,,,4,Schar,NEW,0,,,,Hein,MET,0,
5,Bensebaini,DOR,0,,,,A Toure,LH,0,,,5,J Rodriguez,CEL,0,,,,Goretzka,BM,0,
6,Kehrer,MON,0,,,,Szoboszlai,LIV,0,,,6,Maguire,MU,0,,,,B Fernandes,MU,0,
7,C Augusto,INT,0,,,,Konigsdorffer,HMB,0,,,7,L Vazquez,BL,0,,,,Semenyo,BOU,2,
MIJLOCASI,,,,,,,Sorloth,AM,0,,,MIJLOCASI,,,,,,,Cunha,MU,0,
8,X Simons,TOT,0,,,,Wood,NOT,0,,,8,B Fernandes,MU,0,,,,Aubameyang,OM,0,
9,Gibbs-White,NOT,0,,,PUNCTE,1,scor,2,1,,9,Hein,MET,0,,,PUNCTE,9,scor,2,0
10,Szoboszlai,LIV,0,,,,formula,343,,,,10,N Paz,COM,0,,,,formula,352,,
11,A Toure,LH,0,,,,,,,,,11,Soucek,WH,0,,,,,,,
12,D James,LEE,0,,,,,,,,,12,Lee Kang-In,PSG,0,,,,,,,
13,Musiala,BM,0,,,,,,,,,13,Merino,ARS,0,,,,,,,
14,Soler,SOC,0,,,,,,,,,14,Goretzka,BM,0,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,
15,Dembele,PSG,0,,,,,,,,,15,Aubameyang,OM,0,,,,,,,
16,Sorloth,AM,0,,,,,,,,,16,N Jackson,BM,0,,,,,,,
17,Wood,NOT,0,,,,,,,,,17,Semenyo,BOU,2,,,,,,,
18,Konigsdorffer,HMB,0,,,,,,,,,18,Cunha,MU,0,,,,,,,
19,Jimenez,FUL,0,,,,,,,,,19,Kolo Muani,TOT,0,,,,,,,
20,Delap,CHE,0,,,,,,,,1,20,Kalimuendo,NOT,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
FC SONICS,,B MILEA,10,,1,,Etapa a 4-a,echipa,puncte,,,SILVA NEGRA,,S CORNEANU,6,,0,,Etapa a 4-a,echipa,puncte,
PORTARI,,,,,,,ATALANTA,ATA,,1,,PORTARI,,,,,,,REAL M,RM,,1
1,ATALANTA,ATA,1,,,,Kerkez,LIV,0,,,1,REAL M,RM,1,,,,Rrahmani,NAP,0,
2,TOTTENHAM,TOT,1,,,,J Tah,BM,0,,,2,FRANKFURT,FRA,3,,,,Baku,LPZ,0,
FUNDASI,,,,,,,Hakimi,PSG,0,,,FUNDASI,,,,,,,Pavlovic,MIL,0,
3,Hakimi,PSG,0,,,,Wirtz,LIV,0,,,3,Ait-Nouri,MC,0,,,,Calhanoglu,INT,0,
4,TA Arnold,RM,0,,,,Pasalic,ATA,0,,,4,Baku,LPZ,0,,,,Valverde,RM,0,
5,J Tah,BM,0,,,,Minamino,MON,0,,,5,Rrahmani,NAP,0,,,,H Barnes,NEW,0,
6,Kerkez,LIV,0,,,,Schmid,WB,0,,,6,Pavlovic,MIL,0,,,,Grifo,FRE,0,
7,R James,CHE,0,,,,Mbappe,RM,1,,,7,E Garcia,BAR,0,,,,Vlahovic,JUV,0,
MIJLOCASI,,,,,,,Beier,DOR,0,,,MIJLOCASI,,,,,,,Demirovic,STU,0,
8,Wirtz,LIV,0,,,,Minteh,BRI,0,,,8,Palmer,CHE,0,,,,F Torres,BAR,0,
9,Foden,MC,0,,,PUNCTE,9,scor,1,1,,9,Grifo,FRE,0,,,PUNCTE,6,scor,0,1
10,Ben Seghir,BL,0,,,,formula,343,,,,10,Calhanoglu,INT,0,,,,formula,343,,
11,Minamino,MON,0,,,,,,,,,11,Valverde,RM,0,,,,,,,
12,Schmid,WB,0,,,,,,,,,12,H Barnes,NEW,0,,,,,,,
13,Pasalic,ATA,0,,,,,,,,,13,Stanciu,GEN,0,,,,,,,
14,Nusa,LPZ,0,,,,,,,,,14,Fleming,BUR,0,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,
15,Mbappe,RM,1,,,,,,,,,15,F Torres,BAR,0,,,,,,,
16,J Alvarez,AM,0,,,,,,,,,16,Vlahovic,JUV,0,,,,,,,
17,Doue,PSG,0,,,,,,,,,17,Demirovic,STU,0,,,,,,,
18,Beier,DOR,0,,,,,,,,,18,Gimenez,MIL,0,,,,,,,
19,R Leao,MIL,0,,,,,,,,,19,Igamane,LIL,0,,,,,,,
20,Minteh,BRI,0,,,,,,,,,20,Immobile,BOL,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
FC COLENTINA,,M PANA,12,,3,,Etapa a 4-a,echipa,puncte,,,R.A.F.A.,,C MIHALA,7,,0,,Etapa a 4-a,echipa,puncte,
PORTARI,,,,,,,AS ROMA,ROM,,1,,PORTARI,,,,,,,NAPOLI,NAP,,1
1,AS ROMA,ROM,1,,,,Wesley,ROM,0,,,1,NAPOLI,NAP,1,,,,Huijsen,RM,0,
2,VILLAREAL,VIL,3,,,,Romero,TOT,0,,,2,AC MILAN,MIL,0,,,,Struijk,LEE,0,
FUNDASI,,,,,,,Oppie,STP,0,,,FUNDASI,,,,,,,Senesi,BOU,0,
3,Wesley,ROM,0,,,,Murphy,NEW,0,,,3,Huijsen,RM,0,,,,Arias,WLV,0,
4,Oppie,STP,0,,,,Mount,MU,1,,,4,Bremer,JUV,0,,,,Nebel,MAI,0,
5,Romero,TOT,0,,,,Dewsbury-Hall,EVE,0,,,5,Hancko,AM,0,,,,De Bruyne,NAP,0,
6,A Paredes,BIL,0,,,,Del Castillo,BRE,0,,,6,Struijk,LEE,0,,,,Uzun,FRA,0,
7,Bisseck,INT,0,,,,Haaland,MC,1,,,7,Senesi,BOU,0,,,,Mbeumo,MU,0,
MIJLOCASI,,,,,,,Castellanos,LAZ,0,,,MIJLOCASI,,,,,,,Ajorque,BRE,0,
8,Mount,MU,1,,,,Watkins,AV,0,,,8,Wissa,NEW,0,,,,Budimir,OSA,0,
9,Murphy,NEW,0,,,PUNCTE,9,scor,2,1,,9,Nebel,MAI,0,,,PUNCTE,7,,0,1
10,Lee JS,MAI,0,,,,formula,343,,,,10,De Bruyne,NAP,0,,,,formula,343,,
11,Dewsbury-Hall,EVE,0,,,,,,,,,11,Uzun,FRA,0,,,,,,,
12,Del Castillo,BRE,0,,,,,,,,,12,Baena,AM,0,,,,,,,
13,P Torre,MAL,0,,,,,,,,,13,H Elliot,AV,0,,,,,,,
14,Blas,REN,0,,,,,,,,,14,Arias,WLV,0,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,
15,Haaland,MC,1,,,,,,,,,15,M Kean,FIO,1,,,,,,,
16,Watkins,AV,0,,,,,,,,,16,Budimir,OSA,0,,,,,,,
17,Biereth,MON,0,,,,,,,,,17,Mbeumo,MU,0,,MC,,,,,
18,Castellanos,LAZ,0,,,,,,,,,18,Kleindiest,MNG,0,,,,,,,
19,Scamacca,ATA,0,,,,,,,,,19,S Larsen,WLV,0,,,,,,,
20,Thauvin,LEN,0,,,,,,,,,20,Ajorque,BRE,0,,,,,,,
