TUNETUL FC,,A ISPAS,22,,1,,Etapa a 13-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,22,,3,,Etapa a 13-a,echipa,puncte,,,,,,,,,
11,Stage,WB,0,,Sa,,,,,,,11,Claude-Maurice,AUG,0,,Sa,,,,,,,,,,,,,
12,B Guimaraes,NEW,0,,Sa,,,,,,,12,Hack,MNG,0,,Vi,,,,,,,,,,,,,
13,Rodri,MC,0,,Sa,,,,,,,13,MacAllistair,LIV,0,,Sa,,,,,,,,,,,,,
14,Moleiro,VIL,0,,Du,,,,,,,14,Kimmich,BM,0,,Du,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Isak,LIV,1,,Sa,,,,,,,15,Lewandowski,BAR,0,,Du,,,,,,,,,,,,,
16,Mateta,CP,0,,Sa,,,,,,,16,M Thuram,INT,0,INT-LEC,R,,,,,,,,,,,,,
17,Emegha,STR,0,NU,Du,,,,,,,17,Sesko,MU,0,,Du,,,,,,,,,,,,,
18,Marmoush,MC,0,,Sa,,,,,,,18,Openda,JUV,0,,Sa,,,,,,,,,,,,,
19,Nkunku,MIL,1,COM-MIL,R,,,,,,,19,Moffi,NIC,0,NU,Du,,,,,,,,,,,,,
20,Oyarzabal,SOC,0,,Sa,,,,,,,20,Solanke,TOT,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPID FETESTI,,P GROZEA,30,,3,,Etapa a 13-a,echipa,puncte,,,FC HERMANSTAR,,A IONITA,19,,0,,Etapa a 13-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,CHELSEA,CHE,,2,,PORTARI,,,,,,,AS MONACO,MON,,3,,,,,,,,
1,CHELSEA,CHE,2,,Sa,,Ratiu,VLC,0,,,1,INTER M,INT,R,INT-LEC,R,,Van de Ven,TOT,0,,,,,,,,,
2,NEWCASTLE,NEW,2,,Sa,,Milenkovic,NOT,0,,,2,AS MONACO,MON,3,DA,Du,,Porro,TOT,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Zehnter,WOL,0,,,FUNDASI,,,,,#N/A,,Cucurella,CHE,0,,,,,,,,,
3,Frimpong,LIV,0,,Sa,,Guller,RM,0,,,3,Cucurella,CHE,0,,Sa,,Paqueta,WH,0,,,,,,,,,
4,Ratiu,VLC,0,,Du,,Tolisso,LYO,1,,,4,Porro,TOT,0,,Sa,,E Fernandez,CHE,0,,,,,,,,,
5,Milenkovic,NOT,0,,Lu,,Kaminski,KOL,0,,,5,Gusto,CHE,0,,Sa,,Vitinha,PSG,0,,,,,,,,,
6,Angelino,ROM,0,,Sa,,Kudus,TOT,0,,,6,Marquinhos,PSG,0,NU,Sa,,Casemiro,MU,0,,,,,,,,,
7,Zehnter,WOL,0,,Sa,,L Diaz,BM,1,,,7,Van de Ven,TOT,0,,Sa,,Guirassy,DOR,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,L Martinez,INT,0,,,MIJLOCASI,,,,,#N/A,,Yamal,BAR,1,,,,,,,,,
8,Guller,RM,0,,Sa,,Ekitike,LIV,1,,,8,Paqueta,WH,0,,Sa,,I Thiago,BRN,0,,,,,,,,,
9,Mitoma,BRI,0,,Sa,PUNCTE,27,scor,3,2,,9,E Fernandez,CHE,0,,Sa,PUNCTE,19,scor,1,3,,,,,,,,
10,Kudus,TOT,0,,Sa,,formula,343,,,,10,Vitinha,PSG,0,DA,Sa,,formula,343,,,,,,,,,,
11,Tolisso,LYO,1,DA,Du,,,,,,,11,Modric,MIL,0,COM-MIL,R,,,,,,,,,,,,,
12,B Diaz,RM,0,,Sa,,,,,,,12,F Ruiz,PSG,0,NU,Sa,,,,,,,,,,,,,
13,Kaminski,KOL,0,,Sa,,,,,,,13,Casemiro,MU,0,,Du,,,,,,,,,,,,,
14,Vlasic,TOR,1,,Du,,,,,,,14,Chaibi,FRA,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,L Diaz,BM,1,,Du,,,,,,,15,Guirassy,DOR,0,,Vi,,,,,,,,,,,,,
16,L Martinez,INT,0,INT-LEC,R,,,,,,,16,Yamal,BAR,1,,Du,,,,,,,,,,,,,
17,Ekitike,LIV,1,,Sa,,,,,,,17,Richarlison,TOT,0,,Sa,,,,,,,,,,,,,
18,Bowen,WH,0,,Sa,,,,,,,18,Boniface,WB,0,,Sa,,,,,,,,,,,,,
19,Gakpo,LIV,0,,Sa,,,,,,,19,Giroud,LIL,0,NU,Du,,,,,,,,,,,,,
20,Ferguson,ROM,0,,Sa,,,,,,,20,I Thiago,BRN,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELSEA PITESTI,,B FLUTUREL,18,,0,,Etapa a 13-a,echipa,puncte,,,FC PINALTY,,L ALBU,34,,3,,Etapa a 13-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,LILLE,LIL,,2,,PORTARI,,,,,,,ARSENAL,ARS,,0,,,,,,,,
1,LILLE,LIL,2,DA,Du,,Gosens,FIO,0,,,1,ARSENAL,ARS,0,,Sa,,Schar,NEW,0,,,,,,,,,
2,NICE,NIC,0,NU,Du,,Munoz,CP,0,,,2,SOCIEDAD,SOC,1,,Sa,,J Rodriguez,CEL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,C Augusto,INT,0,,,FUNDASI,,,,,#N/A,,L Vazquez,BL,0,,,,,,,,,
3,Gosens,FIO,0,,Du,,X Simons,TOT,0,,,3,Abdi,NIC,0,NU,Du,,B Fernandes,MU,0,,,,,,,,,
4,Munoz,CP,0,,Sa,,Gibbs-White,NOT,0,,,4,Schar,NEW,0,,Sa,,Goretzka,BM,0,,,,,,,,,
5,Bensebaini,DOR,0,,Vi,,A Toure,LH,0,,,5,J Rodriguez,CEL,0,,Sa,,N Paz,COM,0,,,,,,,,,
6,Kehrer,MON,0,NU,Du,,Szoboszlai,LIV,0,,,6,Maguire,MU,0,,Du,,Merino,ARS,0,,,,,,,,,
7,C Augusto,INT,0,INT-LEC,R,,Sorloth,AM,0,,,7,L Vazquez,BL,0,,Sa,,Aubameyang,OM,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Dembele,PSG,0,,,MIJLOCASI,,,,,#N/A,,Semenyo,BOU,1,,,,,,,,,
8,X Simons,TOT,0,,Sa,,Jimenez,FUL,1,,,8,B Fernandes,MU,0,,Du,,Cunha,MU,1,,,,,,,,,
9,Gibbs-White,NOT,0,,Lu,PUNCTE,18,scor,1,2,,9,Hein,MET,2,NU,Sa,PUNCTE,31,scor,2,0,,,,,,,,
10,Szoboszlai,LIV,0,,Sa,,formula,343,,,,10,N Paz,COM,0,COM-MIL,R,,formula,343,,,,,,,,,,
11,A Toure,LH,0,DA,Du,,,,,,,11,Soucek,WH,0,,Sa,,,,,,,,,,,,,
12,D James,LEE,0,,Sa,,,,,,,12,Lee Kang-In,PSG,0,NU,Sa,,,,,,,,,,,,,
13,Musiala,BM,0,,Du,,,,,,,13,Merino,ARS,0,,Sa,,,,,,,,,,,,,
14,Soler,SOC,0,,Sa,,,,,,,14,Goretzka,BM,0,,Du,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Dembele,PSG,0,DA,Sa,,,,,,,15,Aubameyang,OM,0,DA,Du,,,,,,,,,,,,,
16,Sorloth,AM,0,,Du,,,,,,,16,N Jackson,BM,0,,Du,,,,,,,,,,,,,
17,Wood,NOT,0,,Lu,,,,,,,17,Semenyo,BOU,1,,Sa,,,,,,,,,,,,,
18,Konigsdorffer,HMB,0,,Sa,,,,,,,18,Cunha,MU,1,,Du,,,,,,,,,,,,,
19,Jimenez,FUL,1,,Lu,,,,,,,19,Kolo Muani,TOT,0,,Sa,,,,,,,,,,,,,
20,Delap,CHE,0,,Sa,,,,,,1,20,Kalimuendo,NOT,0,,Lu,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC SONICS,,B MILEA,25,,3,,Etapa a 13-a,echipa,puncte,,,SILVA NEGRA,,S CORNEANU,27,,1,,Etapa a 13-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,ATALANTA,ATA,,0,,PORTARI,,,,,,,REAL M,RM,,0,,,,,,,,
1,ATALANTA,ATA,0,,Du,,Hakimi,PSG,0,,,1,REAL M,RM,0,,Sa,,E Garcia,BAR,0,,,,,,,,,
2,TOTTENHAM,TOT,2,,Sa,,J Tah,BM,0,,,2,FRANKFURT,FRA,1,,Sa,,Pavlovic,MIL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Kerkez,LIV,0,,,FUNDASI,,,,,#N/A,,Rrahmani,NAP,0,,,,,,,,,
