8,Palmer,CHE,0,,Sa,,Douvikas,COM,1,,,8,Sancet,BIL,1,,Du,,J Alvarez,AM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,N Paz,COM,1,,Du,PUNCTE,50,scor,2,0,,9,Tolisso,LYO,0,,Du,PUNCTE,37,scor,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Odegaard,ARS,0,NU,Mi,,formula,343,,,,10,Hein,MET,0,,Du,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Zaniolo,UDI,0,,Vi,,,,,,,11,Suzuki,FRE,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,J Neves,PSG,0,,Sa,,,,,,,12,Kevin,FUL,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lee JS,MAI,0,,Du,,,,,,,13,Da Cunha,COM,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Golovin,MON,0,,Du,,,,,,,14,Baena,AM,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dembele,PSG,0,,Sa,,,,,,,15,J Alvarez,AM,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J Pedro,CHE,0,,Sa,,,,,,,16,M Kean,FIO,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Richarlison,TOT,0,,Du,,,,,,,17,Aubameyang,OM,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Douvikas,COM,1,,Du,,,,,,,18,Kroupi,BOU,1,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gakpo,LIV,0,,Sa,,,,,,,19,K Yildiz,JUV,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Calvert-Lewin,LEE,0,,Sa,,,,,,,20,N Williams,BIL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTM CHIAJNA,,R TUDOR,37,,1,,Etapa a 24-a,echipa,puncte,,,ATLETICO DRAGALINA,,G BERCEANU,57,,3,,Etapa a 24-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,LENS,LEN,,1,,PORTARI,,,,,,,MAN CITY,MC,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JUVENTUS,JUV,1,,Sa,,Bard,NIC,0,,,1,MAN CITY,MC,R,MC-CP,R,,Cucurella,CHE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LENS,LEN,1,,Vi,,Cambiaso,LH,0,,,2,CHELSEA,CHE,3,,Sa,,Frimpong,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Wesley,JUV,0,,,FUNDASI,,,,,#N/A,,Grimaldo,BL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,F Doucoure,LH,0,,Du,,Haraldsson,LIL,0,,,3,Frimpong,LIV,0,,Sa,,Oroz,OSA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Wesley,ROM,0,,Du,,Thielmann,KOL,0,,,4,Grimaldo,BL,0,,Sa,,Vargas,SEV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Methalie,TOU,0,,Sa,,Doan,FRA,0,,,5,Cucurella,CHE,0,,Sa,,Del Castillo,BRE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bard,NIC,0,,Sa,,Vlasic,TOR,1,,,6,Di Lorenzo,NAP,0,,Vi,,Zaccagni,LAZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cambiaso,JUV,0,,Sa,,M Thuram,INT,0,,,7,Sugawara,WB,0,,Sa,,Haaland,MC,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Evanilson,BOU,0,,,MIJLOCASI,,,,,#N/A,,Oyarzabal,SOC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Doan,FRA,0,,Du,,Wahi,NIC,0,,,8,Zaccagni,LAZ,0,,Du,,Mikautadze,VIL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Haraldsson,LIL,0,,Du,PUNCTE,36,,1,1,,9,Almada,AM,0,,Du,PUNCTE,54,scor,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Komur,AUG,0,,Du,,formula,343,,,,10,Oroz,OSA,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Schmid,WB,0,,Sa,,,,,,,11,Palazon,VLC,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Thielmann,KOL,0,,Sa,,,,,,,12,Del Castillo,BRE,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Dewsbury-Hall,EVE,0,,Sa,,,,,,,13,Vargas,SEV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Vlasic,TOR,1,,Sa,,,,,,,14,Lee Kang-In,PSG,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Schick,BL,2,,Sa,,,,,,,15,Haaland,MC,R,MC-CP,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,M Thuram,INT,0,,Du,,,,,,,16,Mikautadze,VIL,1,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Evanilson,BOU,0,,Vi,,,,,,,17,Mbeumo,MU,0,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
