7,Zehnter,WOL,0,,Sa,,Lukaku,NAP,0,,,7,Van de Ven,TOT,0,,Du,,Guirassy,DOR,1,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Muriqi,MAL,0,,,MIJLOCASI,,,,,#N/A,,Yamal,BAR,0,,,,,,,,,
8,Guller,RM,0,,Du,,Ekitike,LIV,0,,,8,Niehues,HEI,0,,Sa,,I Thiago,BRN,0,,,,,,,,,
9,Mitoma,BRI,0,,Sa,PUNCTE,47,scor,2,2,,9,E Fernandez,CHE,0,,Sa,PUNCTE,43,scor,1,1,,,,,,,,
10,Kudus,TOT,0,,Du,,formula,343,,,,10,Vitinha,PSG,0,,Sa,,formula,343,,,,,,,,,,
11,Tolisso,LYO,0,,Du,,,,,,,11,Modric,MIL,0,,Sa,,,,,,,,,,,,,
12,Ekkelenkamp,UDI,1,,Vi,,,,,,,12,F Ruiz,PSG,0,,Sa,,,,,,,,,,,,,
13,Kaminski,KOL,0,,Sa,,,,,,,13,Casemiro,MU,0,,Vi,,,,,,,,,,,,,
14,Vlasic,TOR,1,,Sa,,,,,,,14,Chaibi,FRA,0,,Du,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,L Diaz,BM,0,,Sa,,,,,,,15,Guirassy,DOR,1,,Sa,,,,,,,,,,,,,
16,L Martinez,INT,0,,Du,,,,,,,16,Yamal,BAR,0,,Du,,,,,,,,,,,,,
17,Ekitike,LIV,0,,Sa,,,,,,,17,Richarlison,TOT,0,,Du,,,,,,,,,,,,,
18,Bowen,WH,0,,Du,,,,,,,18,T Abraham,AV,0,,Du,,,,,,,,,,,,,
19,Lukaku,NAP,0,,Vi,,,,,,,19,Giroud,LIL,1,,Du,,,,,,,,,,,,,
20,Muriqi,MAL,0,,Sa,,,,,,,20,I Thiago,BRN,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELSEA PITESTI,,B FLUTUREL,41,,3,,Etapa a 24-a,echipa,puncte,,,FC PINALTY,,L ALBU,55,,1,,Etapa a 24-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,COMO,COM,,0,,PORTARI,,,,,,,ARSENAL,ARS,,2,,,,,,,,
1,LILLE,LIL,1,,Du,,Munoz,CP,R,,,1,ARSENAL,ARS,2,DA,Mi,,Maguire,MU,0,,,,,,,,,
2,COMO,COM,0,,Du,,Gosens,FIO,0,,,2,SOCIEDAD,SOC,3,,Vi,,L Vazquez,BL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Bensebaini,DOR,4,,,FUNDASI,,,,,#N/A,,Abdi,NIC,0,,,,,,,,,
3,Gosens,FIO,0,,Du,,Szoboszlai,LIV,0,,,3,Abdi,NIC,0,,Sa,,B Fernandes,MU,1,,,,,,,,,
4,Munoz,CP,R,MC-CP,R,,Gibbs-White,NOT,1,,,4,Schar,NEW,0,,Du,,Hein,MET,0,,,,,,,,,
5,Bensebaini,DOR,4,,Sa,,X Simons,TOT,0,,,5,Dorgu,MU,0,,Vi,,N Paz,COM,1,,,,,,,,,
6,Kehrer,MON,0,,Du,,Soler,SOC,0,,,6,Maguire,MU,0,,Vi,,Zielinski,INT,0,,,,,,,,,
7,C Augusto,INT,0,,Du,,Jimenez,FUL,1,,,7,L Vazquez,BL,0,,Sa,,Kalimuendo,FRA,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Dembele,PSG,0,,,MIJLOCASI,,,,,#N/A,,Cunha,MU,0,,,,,,,,,
8,X Simons,TOT,0,,Du,,Sorloth,AM,0,,,8,B Fernandes,MU,1,,Vi,,B Iglesias,CEL,0,,,,,,,,,
