TUNETUL FC,,A ISPAS,25,,,,Etapa a 15-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,24,,1,,Etapa a 15-a,echipa,puncte,,,,,,,,,
CHELSEA PITESTI,,B FLUTUREL,21,,0,,Etapa a 15-a,echipa,puncte,,,FC PINALTY,,L ALBU,37,,3,,Etapa a 15-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,NICE,NIC,,5,,PORTARI,,,,,,,ARSENAL,ARS,,0,,,,,,,,
1,LILLE,LIL,3,,Vi,,Gosens,FIO,0,,,1,ARSENAL,ARS,0,,Sa,,Maguire,MU,0,,,,,,,,,
2,NICE,NIC,5,,Sa,,Bensebaini,DOR,0,,,2,SOCIEDAD,SOC,1,,Du,,J Rodriguez,CEL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,C Augusto,INT,0,,,FUNDASI,,,,,#N/A,,Abdi,NIC,0,,,,,,,,,
3,Gosens,FIO,0,,Du,,Soler,SOC,0,,,3,Abdi,NIC,0,,Sa,,B Fernandes,MU,0,,,,,,,,,
4,Munoz,CP,0,,Sa,,Gibbs-White,NOT,0,,,4,Schar,NEW,0,,Du,,Hein,MET,1,,,,,,,,,
5,Bensebaini,DOR,0,,Sa,,X Simons,TOT,0,,,5,J Rodriguez,CEL,0,,Du,,N Paz,COM,2,,,,,,,,,
6,Kehrer,MON,0,,Vi,,Szoboszlai,LIV,0,,,6,Maguire,MU,0,,Sa,,Goretzka,BM,0,,,,,,,,,
7,C Augusto,INT,0,,Sa,,Sorloth,AM,1,,,7,L Vazquez,BL,0,,Sa,,Aubameyang,OM,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Dembele,PSG,2,,,MIJLOCASI,,,,,#N/A,,Semenyo,MC,0,,,,,,,,,
8,X Simons,TOT,0,,Sa,,Jimenez,FUL,0,,,8,B Fernandes,MU,0,,Sa,,Cunha,MU,0,,,,,,,,,
9,Gibbs-White,NOT,0,,Sa,PUNCTE,21,scor,3,5,,9,Hein,MET,1,,Du,PUNCTE,34,scor,3,0,,,,,,,,
10,Szoboszlai,LIV,0,,Sa,,formula,343,,,,10,N Paz,COM,2,,Lu,,formula,343,,,,,,,,,,
11,A Toure,LH,0,,Du,,,,,,,11,Soucek,WH,0,,Sa,,,,,,,,,,,,,
12,D James,LEE,0,,Sa,,,,,,,12,Lee Kang-In,PSG,0,,Vi,,,,,,,,,,,,,
13,Musiala,BM,0,,Sa,,,,,,,13,Merino,ARS,0,,Sa,,,,,,,,,,,,,
14,Soler,SOC,0,,Du,,,,,,,14,Goretzka,BM,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Dembele,PSG,2,,Vi,,,,,,,15,Aubameyang,OM,0,,Sa,,,,,,,,,,,,,
16,Sorloth,AM,1,,Du,,,,,,,16,N Jackson,BM,0,,Sa,,,,,,,,,,,,,
17,Wood,NOT,0,,Sa,,,,,,,17,Semenyo,MC,0,,Sa,,,,,,,,,,,,,
18,Konigsdorffer,HMB,0,,Sa,,,,,,,18,Cunha,MU,0,,Sa,,,,,,,,,,,,,
19,Jimenez,FUL,0,,Sa,,,,,,,19,Kolo Muani,TOT,0,,Sa,,,,,,,,,,,,,
20,Delap,CHE,0,,Sa,,,,,,1,20,Kalimuendo,FRA,1,,Vi,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC SONICS,,B MILEA,31,,3,,Etapa a 15-a,echipa,puncte,,,SILVA NEGRA,,S CORNEANU,33,,3,,Etapa a 15-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,ATALANTA,ATA,,1,,PORTARI,,,,,,,REAL M,RM,,0,,,,,,,,
1,ATALANTA,ATA,1,,Vi,,R James,CHE,0,,,1,REAL M,RM,0,,Sa,,E Garcia,BAR,0,,,,,,,,,
2,TOTTENHAM,TOT,2,,Sa,,J Tah,BM,2,,,2,FRANKFURT,FRA,3,,Vi,,Baku,LPZ,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Kerkez,LIV,0,,,FUNDASI,,,,,#N/A,,Rrahmani,NAP,0,,,,,,,,,
3,Hakimi,PSG,0,,Vi,,Wirtz,LIV,1,,,3,Ait-Nouri,MC,0,,Sa,,Grifo,FRE,0,,,,,,,,,
4,TA Arnold,RM,0,,Sa,,Schmid,WB,0,,,4,Baku,LPZ,0,,Sa,,Valverde,RM,0,,,,,,,,,
5,J Tah,BM,2,,Sa,,Pasalic,ATA,0,,,5,Rrahmani,NAP,0,,Sa,,H Barnes,NEW,0,,,,,,,,,
6,Kerkez,LIV,0,,Sa,,Foden,MC,0,,,6,Pavlovic,MIL,0,,Du,,Palmer,CHE,1,,,,,,,,,
7,R James,CHE,0,,Sa,,Beier,DOR,0,,,7,E Garcia,BAR,0,,Du,,Demirovic,STU,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,R Leao,MIL,0,,,MIJLOCASI,,,,,#N/A,,Immobile,BOL,0,,,,,,,,,
8,Wirtz,LIV,1,,Sa,,J Alvarez,AM,0,,,8,Palmer,CHE,1,,Sa,,F Torres,BAR,0,,,,,,,,,
9,Foden,MC,0,,Sa,PUNCTE,28,scor,3,1,,9,Grifo,FRE,0,,Du,PUNCTE,30,scor,1,0,,,,,,,,
10,Ben Seghir,BL,0,,Sa,,formula,343,,,,10,Calhanoglu,INT,0,,Sa,,formula,343,,,,,,,,,,
11,Minamino,MON,0,,Vi,,,,,,,11,Valverde,RM,0,,Sa,,,,,,,,,,,,,
12,Schmid,WB,0,,Vi,,,,,,,12,H Barnes,NEW,0,,Du,,,,,,,,,,,,,
13,Pasalic,ATA,0,,Vi,,,,,,,13,Stanciu,GEN,0,,Du,,,,,,,,,,,,,
14,Nusa,LPZ,0,,Sa,,,,,,,14,Flemming,BUR,0,,Sa,,,,,,,,,,,,,10/24/2025
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Mbappe,RM,1,,Sa,,,,,,,15,F Torres,BAR,0,,Du,,,,,,,,,,,,,
16,J Alvarez,AM,0,,Du,,,,,,,16,Vlahovic,JUV,0,,Sa,,,,,,,,,,,,,
17,Doue,PSG,0,,Vi,,,,,,,17,Demirovic,STU,0,,Du,,,,,,,,,,,,,
18,Beier,DOR,0,,Sa,,,,,,,18,Gimenez,MIL,0,,Du,,,,,,,,,,,,,
19,R Leao,MIL,0,,Du,,,,,,,19,Igamane,LIL,0,,Vi,,,,,,,,,,,,,
20,Minteh,BRI,0,,Lu,,,,,,,20,Immobile,BOL,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC COLENTINA,,M PANA,37,,1,,Etapa a 15-a,echipa,puncte,,,R.A.F.A.,,C MIHALA,21,,,,Etapa a 15-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,AS ROMA,ROM,,0,,PORTARI,,,,,,,AC MILAN,MIL,,0,,,,,,,,
1,AS ROMA,ROM,0,,Du,,Wesley,ROM,0,,,1,NAPOLI,NAP,0,,Sa,,Struijk,LEE,0,,,,,,,,,
2,VILLAREAL,VIL,2,,Sa,,A Paredes,TOT,0,,,2,AC MILAN,MIL,0,,Du,,Hancko,AM,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Bisseck,BIL,0,,,FUNDASI,,,,,#N/A,,Bremer,JUV,0,,,,,,,,,
3,Wesley,ROM,0,,Du,,Blas,REN,0,,,3,Huijsen,RM,0,,Sa,,Huijsen,RM,0,,,,,,,,,
4,Oppie,STP,0,,Sa,,Del Castillo,BRE,0,,,4,Bremer,JUV,0,,Sa,,Wissa,NEW,0,,,,,,,,,
5,Romero,TOT,2,,Sa,,Lee JS,MAI,0,,,5,Hancko,AM,0,,Du,,Nebel,MAI,0,,,,,,,,,
6,A Paredes,BIL,0,,Sa,,Murphy,NEW,0,,,6,Struijk,LEE,0,,Sa,,Uzun,FRA,0,,,,,,,,,
7,Bisseck,INT,0,,Sa,,Haaland,MC,0,,,7,Senesi,BOU,0,,Lu,,S Larsen,WLV,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Thauvin,LEN,0,,,MIJLOCASI,,,,,#N/A,,Budimir,OSA,2,,,,,,,,,
8,Mount,MU,0,,Sa,,Scamacca,ATA,0,,,8,Wissa,NEW,0,,Du,,M Kean,FIO,0,,,,,,,,,
9,Murphy,NEW,0,,Du,PUNCTE,36,scor,0,0,,9,Nebel,MAI,0,,Sa,PUNCTE,21,,2,0,,,,,,,,
10,Lee JS,MAI,0,,Sa,,formula,343,,,,10,De Bruyne,NAP,0,,Sa,,formula,433,,,,,,,,,,
11,Dewsbury-Hall,EVE,0,,Du,,,,,,,11,Uzun,FRA,0,,Vi,,,,,,,,,,,,,
12,Del Castillo,BRE,0,,Du,,,,,,,12,Baena,AM,0,,Du,,,,,,,,,,,,,
13,P Torre,MAL,0,,Sa,,,,,,,13,H Elliot,AV,0,,Du,,,,,,,,,,,,,
14,Blas,REN,0,,Du,,,,,,,14,Arias,WLV,0,,Du,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Haaland,MC,0,,Sa,,,,,,,15,M Kean,FIO,0,,Du,,,,,,,,,,,,,
16,Watkins,AV,0,,Du,,,,,,,16,Budimir,OSA,2,,Sa,,,,,,,,,,,,,
17,Biereth,MON,0,,Vi,,,,,,,17,Mbeumo,MU,1,,Sa,,,,,,,,,,,,,
18,Castellanos,WH,0,,Sa,,,,,,,18,Kleindiest,MNG,0,,Sa,,,,,,,,,,,,,
19,Scamacca,ATA,0,,Vi,,,,,,,19,S Larsen,WLV,0,,Du,,,,,,,,,,,,,
20,Thauvin,LEN,0,,Sa,,,,,,,20,Ajorque,BRE,0,,Du,,,,,,,,,,,,,
